Fri Dec 31 15:51:33 2021, 00:14:45, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:34 2021, 00:14:47, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:35 2021, 00:14:48, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:36 2021, 00:14:49, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:37 2021, 00:14:50, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:38 2021, 00:14:51, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:40 2021, 00:14:52, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:41 2021, 00:14:54, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:42 2021, 00:14:55, Recent State, 48, 19501, 11490, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:43 2021, 00:14:56, Recent State, 48, 19501, 11490, 0, 0, 38.85, 19.394, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:44 2021, 00:14:57, Recent State, 48, 21851, 10465, 13, 0, 38.84, 19.395, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:46 2021, 00:14:58, Recent State, 48, 24099, 10979, 90, 0, 38.84, 19.394, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:47 2021, 00:15:00, Recent State, 48, 21203, 10869, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:48 2021, 00:15:01, Recent State, 48, 18133, 22123, -76, 0, 38.84, 19.395, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:49 2021, 00:15:02, Recent State, 48, 18051, 14275, 0, 0, 38.85, 19.396, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:50 2021, 00:15:03, Recent State, 48, 18051, 14275, 0, 0, 38.85, 19.396, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:51 2021, 00:15:04, Recent State, 48, 18051, 14275, 0, 0, 38.84, 19.396, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:53 2021, 00:15:05, Recent State, 48, 18051, 14275, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:54 2021, 00:15:07, Recent State, 48, 18051, 14275, 0, 0, 38.85, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:55 2021, 00:15:08, Recent State, 24, 18051, 14275, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:56 2021, 00:15:09, Recent State, 26, 18051, 14275, 0, 0, 38.85, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:57 2021, 00:15:10, Recent State, 26, 0, -1, -88, 0, 38.83, 19.388, 0, 17.9, 1, 17.47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0010-1110 | 0000-0011 | 1: 1111-1111 | 1111-1111, 
Fri Dec 31 15:51:58 2021, 00:15:11, Recent State, 26, 17207, 10994, 0, 0, 38.85, 19.396, 0, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0010-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Fri Dec 31 15:52:00 2021, 00:15:12, Recent State, 26, 17207, 10994, 0, 0, 38.84, 19.395, 0, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0010-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Fri Dec 31 15:52:01 2021, 00:15:13, Recent State, 26, 17207, 10994, 0, 0, 38.84, 19.396, 0, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0010-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Fri Dec 31 15:52:02 2021, 00:15:15, Recent State, 26, 17207, 10994, 0, 0, 38.84, 19.395, 0, 17.93, 0, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0000-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Fri Dec 31 15:52:03 2021, 00:15:16, Recent State, 26, 17207, 10994, 0, 0, 38.84, 19.395, 0, 17.93, 0, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0000-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Fri Dec 31 15:52:04 2021, 00:15:17, Recent State, 26, 17207, 10994, 0, 0, 38.85, 19.395, 0, 17.93, 0, 17.475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0000-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
