Thu Dec 30 20:40:17 2021, 162759, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:19 2021, 163949, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:20 2021, 165139, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:21 2021, 166399, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:22 2021, 167589, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.17, 0, 11.478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:23 2021, 168779, Recent State, 71, 0, 0, 0, 1, 35.62, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:25 2021, 169969, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:26 2021, 171159, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:27 2021, 172349, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:40:28 2021, 173539, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
